lineage,parent,children
A,,B.1.359
A,,B.1.360
A,,B.1.361
A,,B.1.362
A,,B.1.362.1
A,,B.1.362.2
A,,B.1.363
A,,B.1.364
A,,B.1.365
A,,B.1.366
A,,B.1.367
A,,B.1.368
A,,B.1.369
A,,B.1.369.1
A,,B.1.370
A,,B.1.371
A,,B.1.372
A,,B.1.373
A,,B.1.374
A,,B.1.374.1
A,,B.1.375
A,,B.1.376
A,,B.1.377
A,,B.1.378
A,,B.1.379
A,,B.1.380
A,,B.1.381
A,,B.1.382
A,,B.1.383
A,,B.1.384
A,,B.1.385
A,,B.1.386
A,,B.1.387
A,,B.1.388
A,,B.1.389
A,,B.1.390
A,,B.1.391
A,,B.1.392
A,,B.1.393
A,,B.1.394
A,,B.1.395
A,,B.1.396
A,,B.1.397
A,,B.1.398
A,,B.1.399
A,,B.1.400
A,,B.1.400.1
A,,B.1.401
A,,B.1.402
A,,B.1.403
A,,B.1.404
A,,B.1.405
A,,B.1.406
A,,B.1.407
A,,B.1.408
A,,B.1.409
A,,B.1.410
A,,B.1.411
A,,B.1.412
A,,B.1.413
A,,B.1.414
A,,B.1.415
A,,B.1.415.1
A,,B.1.416
A,,B.1.416.1
A,,B.1.417
A,,B.1.418
A,,B.1.419
A,,B.1.420
A,,B.1.421
A,,B.1.422
A,,B.1.423
A,,B.1.424
A,,B.1.425
A,,B.1.426
A,,B.1.427
A,,B.1.428
A,,B.1.428.1
A,,B.1.428.2
A,,B.1.428.3
A,,B.1.429
A,,B.1.429.1
A,,B.1.431
A,,B.1.432
A,,B.1.433
A,,B.1.434
A,,B.1.435
A,,B.1.436
A,,B.1.437
A,,B.1.438
A,,B.1.438.1
A,,B.1.438.2
A,,B.1.438.3
A,,B.1.438.4
A,,B.1.439
A,,B.1.440
A,,B.1.441
A,,B.1.442
A,,B.1.443
A,,B.1.444
A,,B.1.445
A,,B.1.446
A,,B.1.447
A,,B.1.448
A,,B.1.449
A,,B.1.450
A,,B.1.451
A,,B.1.452
A,,B.1.453
A,,B.1.454
A,,B.1.455
A,,B.1.456
A,,B.1.457
A,,B.1.457.1
A,,B.1.458
A,,B.1.459
A,,B.1.460
A,,B.1.461
A,,B.1.462
A,,B.1.463
A,,B.1.464
A,,B.1.465
A,,B.1.466
A,,B.1.466.1
A,,B.1.466.2
A,,B.1.467
A,,B.1.468
A,,B.1.469
A,,B.1.470
A,,B.1.471
A,,B.1.472
A,,B.1.473
A,,B.1.474
A,,B.1.475
A,,B.1.476
A,,B.1.477
A,,B.1.478
A,,B.1.479
A,,B.1.480
A,,B.1.481
A,,B.1.482
A,,B.1.483
A,,B.1.484
A,,B.1.485
A,,B.1.486
A,,B.1.487
A,,B.1.488
A,,B.1.489
A,,B.1.490
A,,B.1.491
A,,B.1.492
A,,B.1.493
A,,B.1.494
A,,B.1.495
A,,B.1.496
A,,B.1.497
A,,B.1.498
A,,B.1.499
A,,B.1.499.1
A,,B.1.500
A,,B.1.501
A,,B.1.502
A,,B.1.503
A,,B.1.504
A,,B.1.505
A,,B.1.506
A,,B.1.507
A,,B.1.508
A,,B.1.509
A,,B.1.510
A,,B.1.511
A,,B.1.512
A,,B.1.513
A,,B.1.514
A,,B.1.515
A,,B.1.516
A,,B.1.517
A,,B.1.517.1
A,,B.1.518
A,,B.1.519
A,,B.1.520
A,,B.1.521
A,,B.1.523
A,,B.1.524
A,,B.1.525
A,,B.1.526
A,,B.1.526.1
A,,B.1.526.2
A,,B.1.526.3
A,,B.1.527
A,,B.1.528
A,,B.1.529
A,,B.1.530
A,,B.1.531
A,,B.1.532
A,,B.1.533
A,,B.1.534
A,,B.1.535
A,,B.1.536
A,,B.1.537
A,,B.1.538
A,,B.1.539
A,,B.1.540
A,,B.1.541
A,,B.1.542
A,,B.1.543
A,,B.1.544
A,,B.1.545
A,,B.1.546
A,,B.1.547
A,,B.1.548
A,,B.1.549
A,,B.1.550
A,,B.1.551
A,,B.1.552
A,,B.1.554
A,,B.1.555
A,,B.1.556
A,,B.1.557
A,,B.1.558
A,,B.1.559
A,,B.1.560
A,,B.1.561
A,,B.1.562
A,,B.1.563
A,,B.1.564
A,,B.1.564.1
A,,B.1.565
A,,B.1.566
A,,B.1.567
A,,B.1.568
A,,B.1.569
A,,B.1.570
A,,B.1.571
A,,B.1.572
A,,B.1.573
A,,B.1.574
A,,B.1.575
A,,B.1.575.1
A,,B.1.575.2
A,,B.1.576
A,,B.1.577
A,,B.1.578
A,,B.1.579
A,,B.1.580
A,,B.1.581
A,,B.1.582
A,,B.1.585
A,,B.1.586
A,,B.1.587
A,,B.1.588
A,,B.1.588.1
A,,B.1.589
A,,B.1.590
A,,B.1.591
A,,B.1.592
A,,B.1.593
A,,B.1.594
A,,B.1.595
A,,B.1.595.1
A,,B.1.595.2
A,,B.1.595.3
A,,B.1.595.4
A,,B.1.596
A,,B.1.596.1
A,,B.1.597
A,,B.1.598
A,,B.1.599
A,,B.1.600
A,,B.1.601
A,,B.1.602
A,,B.1.603
A,,B.1.604
A,,B.1.605
A,,B.1.606
A,,B.1.607
A,,B.1.609
A,,B.1.610
A,,B.1.611
A,,B.1.612
A,,B.1.613
A,,B.1.614
A,,B.1.615
A,,B.1.616
A,,B.1.617
A,,B.1.617.1
A,,B.1.617.2
A,,B.1.617.3
A,,B.1.618
A,,B.1.619
A,,B.1.619.1
A,,B.1.620
A,,B.1.621
A,,B.1.621.1
A,,B.1.621.2
A,,B.1.622
A,,B.1.623
A,,B.1.624
A,,B.1.625
A,,B.1.626
A,,B.1.627
A,,B.1.628
A,,B.1.629
A,,B.1.630
A,,B.1.631
A,,B.1.632
A,,B.1.633
A,,B.1.634
A,,B.1.635
A,,B.1.636
A,,B.1.637
